"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"SRR6870927","SRR6870927","Illumina HiSeq 2000","endothelial","Vehicle2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR6870930","SRR6870930","Illumina HiSeq 2000","endothelial","Methylprednisolone6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR6870932","SRR6870932","Illumina HiSeq 2000","endothelial","Vehicle6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR7963695","SRR7963695","Illumina HiSeq 3000","endothelial","Methylprednisolone2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR7963696","SRR7963696","Illumina HiSeq 3000","endothelial","Methylprednisolone2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR7963697","SRR7963697","Illumina HiSeq 3000","endothelial","Methylprednisolone2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR7963698","SRR7963698","Illumina HiSeq 3000","endothelial","Vehicle2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR7963699","SRR7963699","Illumina HiSeq 3000","endothelial","Vehicle2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR7963700","SRR7963700","Illumina HiSeq 3000","endothelial","Vehicle2","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR7963701","SRR7963701","Illumina HiSeq 3000","endothelial","Methylprednisolone6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR7963702","SRR7963702","Illumina HiSeq 3000","endothelial","Methylprednisolone6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR7963703","SRR7963703","Illumina HiSeq 3000","endothelial","Methylprednisolone6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","yes","Train","Train","Train","Train"
"SRR7963704","SRR7963704","Illumina HiSeq 3000","endothelial","Vehicle6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR7963705","SRR7963705","Illumina HiSeq 3000","endothelial","Vehicle6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR7963706","SRR7963706","Illumina HiSeq 3000","endothelial","Vehicle6","SRP136108","Stromal","Endothelial","endothelial.cells","endothelial.cells","endothelial.cells","no","Train","Train","Train","Train"
"SRR6870953","SRR6870953","Illumina HiSeq 2000","fibroblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR6870955","SRR6870955","Illumina HiSeq 2000","fibroblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR6870960","SRR6870960","Illumina HiSeq 2000","fibroblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR6870961","SRR6870961","Illumina HiSeq 2000","fibroblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR7963719","SRR7963719","Illumina HiSeq 3000","fibroblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR7963720","SRR7963720","Illumina HiSeq 3000","fibroblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR7963721","SRR7963721","Illumina HiSeq 3000","fibroblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR7963722","SRR7963722","Illumina HiSeq 3000","fibroblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR7963723","SRR7963723","Illumina HiSeq 3000","fibroblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR7963724","SRR7963724","Illumina HiSeq 3000","fibroblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR7963725","SRR7963725","Illumina HiSeq 3000","fibroblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR7963726","SRR7963726","Illumina HiSeq 3000","fibroblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR7963727","SRR7963727","Illumina HiSeq 3000","fibroblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","yes","Train","Test","Train","Train"
"SRR7963728","SRR7963728","Illumina HiSeq 3000","fibroblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR7963729","SRR7963729","Illumina HiSeq 3000","fibroblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR7963730","SRR7963730","Illumina HiSeq 3000","fibroblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no","Train","Test","Train","Train"
"SRR6870864","SRR6870864","Illumina HiSeq 2000","monocytes","Methylprednisolone2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR6870867","SRR6870867","Illumina HiSeq 2000","monocytes","Vehicle2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR6870871","SRR6870871","Illumina HiSeq 2000","monocytes","Methylprednisolone6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR6870873","SRR6870873","Illumina HiSeq 2000","monocytes","Vehicle6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR7963647","SRR7963647","Illumina HiSeq 3000","monocytes","Methylprednisolone2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR7963648","SRR7963648","Illumina HiSeq 3000","monocytes","Methylprednisolone2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR7963649","SRR7963649","Illumina HiSeq 3000","monocytes","Methylprednisolone2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR7963650","SRR7963650","Illumina HiSeq 3000","monocytes","Vehicle2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR7963651","SRR7963651","Illumina HiSeq 3000","monocytes","Vehicle2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR7963652","SRR7963652","Illumina HiSeq 3000","monocytes","Vehicle2","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR7963653","SRR7963653","Illumina HiSeq 3000","monocytes","Methylprednisolone6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR7963654","SRR7963654","Illumina HiSeq 3000","monocytes","Methylprednisolone6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR7963655","SRR7963655","Illumina HiSeq 3000","monocytes","Methylprednisolone6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","yes","No","No","No","No"
"SRR7963656","SRR7963656","Illumina HiSeq 3000","monocytes","Vehicle6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR7963657","SRR7963657","Illumina HiSeq 3000","monocytes","Vehicle6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR7963658","SRR7963658","Illumina HiSeq 3000","monocytes","Vehicle6","SRP136108","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"SRR6870880","SRR6870880","Illumina HiSeq 2000","neutrophiles","Methylprednisolone2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR6870883","SRR6870883","Illumina HiSeq 2000","neutrophiles","Vehicle2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR6870885","SRR6870885","Illumina HiSeq 2000","neutrophiles","Methylprednisolone6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR6870889","SRR6870889","Illumina HiSeq 2000","neutrophiles","Vehicle6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR7963659","SRR7963659","Illumina HiSeq 3000","neutrophiles","Methylprednisolone2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR7963660","SRR7963660","Illumina HiSeq 3000","neutrophiles","Methylprednisolone2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR7963661","SRR7963661","Illumina HiSeq 3000","neutrophiles","Methylprednisolone2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR7963662","SRR7963662","Illumina HiSeq 3000","neutrophiles","Vehicle2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR7963663","SRR7963663","Illumina HiSeq 3000","neutrophiles","Vehicle2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR7963664","SRR7963664","Illumina HiSeq 3000","neutrophiles","Vehicle2","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR7963665","SRR7963665","Illumina HiSeq 3000","neutrophiles","Methylprednisolone6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR7963666","SRR7963666","Illumina HiSeq 3000","neutrophiles","Methylprednisolone6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR7963667","SRR7963667","Illumina HiSeq 3000","neutrophiles","Methylprednisolone6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","yes","Train","No","Test","Test"
"SRR7963668","SRR7963668","Illumina HiSeq 3000","neutrophiles","Vehicle6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR7963669","SRR7963669","Illumina HiSeq 3000","neutrophiles","Vehicle6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR7963670","SRR7963670","Illumina HiSeq 3000","neutrophiles","Vehicle6","SRP136108","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","Train","No","Test","Test"
"SRR6870939","SRR6870939","Illumina HiSeq 2000","osteoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Train"
"SRR6870941","SRR6870941","Illumina HiSeq 2000","osteoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Test"
"SRR6870944","SRR6870944","Illumina HiSeq 2000","osteoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Train"
"SRR6870946","SRR6870946","Illumina HiSeq 2000","osteoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Test"
"SRR6870968","SRR6870968","Illumina HiSeq 2000","myoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Train"
"SRR6870970","SRR6870970","Illumina HiSeq 2000","myoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Test"
"SRR6870973","SRR6870973","Illumina HiSeq 2000","myoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Train"
"SRR6870976","SRR6870976","Illumina HiSeq 2000","myoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Test"
"SRR6870983","SRR6870983","Illumina HiSeq 2000","adipocytes","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Train"
"SRR6870986","SRR6870986","Illumina HiSeq 2000","adipocytes","Vehicle2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Train"
"SRR6870990","SRR6870990","Illumina HiSeq 2000","adipocytes","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Train"
"SRR6870991","SRR6870991","Illumina HiSeq 2000","adipocytes","Vehicle6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Test"
"SRR7963707","SRR7963707","Illumina HiSeq 3000","osteoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Train"
"SRR7963708","SRR7963708","Illumina HiSeq 3000","osteoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Train"
"SRR7963709","SRR7963709","Illumina HiSeq 3000","osteoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Train"
"SRR7963710","SRR7963710","Illumina HiSeq 3000","osteoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Train"
"SRR7963711","SRR7963711","Illumina HiSeq 3000","osteoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Train"
"SRR7963712","SRR7963712","Illumina HiSeq 3000","osteoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Train"
"SRR7963713","SRR7963713","Illumina HiSeq 3000","osteoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Test"
"SRR7963714","SRR7963714","Illumina HiSeq 3000","osteoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Test"
"SRR7963715","SRR7963715","Illumina HiSeq 3000","osteoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","yes","Train","No","No","Test"
"SRR7963716","SRR7963716","Illumina HiSeq 3000","osteoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Test"
"SRR7963717","SRR7963717","Illumina HiSeq 3000","osteoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Test"
"SRR7963718","SRR7963718","Illumina HiSeq 3000","osteoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","osteoblasts","noise","noise","no","Train","No","No","Test"
"SRR7963731","SRR7963731","Illumina HiSeq 3000","myoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Train"
"SRR7963732","SRR7963732","Illumina HiSeq 3000","myoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Train"
"SRR7963733","SRR7963733","Illumina HiSeq 3000","myoblasts","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Train"
"SRR7963734","SRR7963734","Illumina HiSeq 3000","myoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Train"
"SRR7963735","SRR7963735","Illumina HiSeq 3000","myoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Train"
"SRR7963736","SRR7963736","Illumina HiSeq 3000","myoblasts","Vehicle2","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Train"
"SRR7963737","SRR7963737","Illumina HiSeq 3000","myoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Test"
"SRR7963738","SRR7963738","Illumina HiSeq 3000","myoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Test"
"SRR7963739","SRR7963739","Illumina HiSeq 3000","myoblasts","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","yes","Train","No","No","Test"
"SRR7963740","SRR7963740","Illumina HiSeq 3000","myoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Test"
"SRR7963741","SRR7963741","Illumina HiSeq 3000","myoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Test"
"SRR7963742","SRR7963742","Illumina HiSeq 3000","myoblasts","Vehicle6","SRP136108","Stromal","Mesenchimal","myoblasts","noise","noise","no","Train","No","No","Test"
"SRR7963743","SRR7963743","Illumina HiSeq 3000","adipocytes","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Train"
"SRR7963744","SRR7963744","Illumina HiSeq 3000","adipocytes","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Train"
"SRR7963745","SRR7963745","Illumina HiSeq 3000","adipocytes","Methylprednisolone2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Train"
"SRR7963746","SRR7963746","Illumina HiSeq 3000","adipocytes","Vehicle2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Train"
"SRR7963747","SRR7963747","Illumina HiSeq 3000","adipocytes","Vehicle2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Train"
"SRR7963748","SRR7963748","Illumina HiSeq 3000","adipocytes","Vehicle2","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Train"
"SRR7963749","SRR7963749","Illumina HiSeq 3000","adipocytes","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Test"
"SRR7963750","SRR7963750","Illumina HiSeq 3000","adipocytes","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Test"
"SRR7963751","SRR7963751","Illumina HiSeq 3000","adipocytes","Methylprednisolone6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","yes","Train","No","No","Test"
"SRR7963752","SRR7963752","Illumina HiSeq 3000","adipocytes","Vehicle6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Test"
"SRR7963753","SRR7963753","Illumina HiSeq 3000","adipocytes","Vehicle6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Test"
"SRR7963754","SRR7963754","Illumina HiSeq 3000","adipocytes","Vehicle6","SRP136108","Stromal","Mesenchimal","adipocytes","noise","noise","no","Train","No","No","Test"
"SRR7059149","SRR7059149","Illumina HiSeq 4000","Peripheral Blood Effector memory CD8 T cells","no_treament","SRP142468","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059150","SRR7059150","Illumina HiSeq 4000","Peripheral Blood Effector memory CD8 T cells","no_treament","SRP142468","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059151","SRR7059151","Illumina HiSeq 4000","Peripheral Blood Effector memory CD8 T cells","no_treament","SRP142468","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059152","SRR7059152","Illumina HiSeq 4000","Peripheral Blood Effector memory CD8 T cells","no_treament","SRP142468","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059153","SRR7059153","Illumina HiSeq 4000","Peripheral Blood Effector memory CD8 T cells","no_treament","SRP142468","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059154","SRR7059154","Illumina HiSeq 4000","Peripheral Blood Naive CD8 T cells","no_treament","SRP142468","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059155","SRR7059155","Illumina HiSeq 4000","Peripheral Blood Naive CD8 T cells","no_treament","SRP142468","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059156","SRR7059156","Illumina HiSeq 4000","Peripheral Blood Naive CD8 T cells","no_treament","SRP142468","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059157","SRR7059157","Illumina HiSeq 4000","Peripheral Blood Naive CD8 T cells","no_treament","SRP142468","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no",NA,NA,NA,NA
"SRR7059158","SRR7059158","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059159","SRR7059159","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059160","SRR7059160","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059161","SRR7059161","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059162","SRR7059162","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059163","SRR7059163","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059164","SRR7059164","Illumina HiSeq 4000","Tumor infiltrating CD39- CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059165","SRR7059165","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059166","SRR7059166","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059167","SRR7059167","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059168","SRR7059168","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059169","SRR7059169","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059170","SRR7059170","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059171","SRR7059171","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7059172","SRR7059172","Illumina HiSeq 4000","Tumor infiltrating CD39+ CD8 T cells","no_treament","SRP142468","Immune","CD8","CD8.T.cells","CD8.T.cells","other","no",NA,NA,NA,NA
"SRR7547693","SRR7547693","Illumina HiSeq 2000","proliferating cells","no_treament","SRP154577","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR7547694","SRR7547694","Illumina HiSeq 2000","proliferating cells","no_treament","SRP154577","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR7547695","SRR7547695","Illumina HiSeq 2000","proliferating cells","no_treament","SRP154577","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR7547696","SRR7547696","Illumina HiSeq 2000","7 day contact inhibited cells (quiescent)","no_treament","SRP154577","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR7547697","SRR7547697","Illumina HiSeq 2000","7 day contact inhibited cells (quiescent)","no_treament","SRP154577","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR7547698","SRR7547698","Illumina HiSeq 2000","7 day contact inhibited cells (quiescent)","no_treament","SRP154577","Stromal","Mesenchimal","fibroblasts","fibroblasts","fibroblasts","no",NA,NA,NA,NA
"SRR7647654","SRR7647654","Illumina NovaSeq 6000","Bulk_B","no_treament","SRP156452","Immune","B","B.cells","B.cells","other","no","Test","No","Test","Test"
"SRR7647655","SRR7647655","Illumina NovaSeq 6000","Bulk_B","treatment1","SRP156452","Immune","B","B.cells","B.cells","other","yes","Test","No","Test","Test"
"SRR7647656","SRR7647656","Illumina NovaSeq 6000","Mem_B","no_treament","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","Test","No","Test","Test"
"SRR7647657","SRR7647657","Illumina NovaSeq 6000","Mem_B","treatment1","SRP156452","Immune","B","memory.B.cells","B.cells","memory.B.cells","yes","Test","No","Test","Test"
"SRR7647658","SRR7647658","Illumina NovaSeq 6000","Naive_B","no_treament","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","Test","No","Test","Test"
"SRR7647659","SRR7647659","Illumina NovaSeq 6000","Naive_B","treatment1","SRP156452","Immune","B","naive.B.cells","B.cells","naive.B.cells","yes","Test","No","Test","Test"
"SRR7647660","SRR7647660","Illumina NovaSeq 6000","Plasmablasts","no_treament","SRP156452","Immune","B","Plasmablasts","B.cells","other","no","Test","No","Test","Test"
